Date,Amazon_Open,Amazon_High,Amazon_Low,Amazon_Close,Amazon_Adj Close,Amazon_Volume,Apple_Open,Apple_High,Apple_Low,Apple_Close,Apple_Adj Close,Apple_Volume,Facebook_Open,Facebook_High,Facebook_Low,Facebook_Close,Facebook_Adj Close,Facebook_Volume,Google_Open,Google_High,Google_Low,Google_Close,Google_Adj Close,Google_Volume,Microsoft_Open,Microsoft_High,Microsoft_Low,Microsoft_Close,Microsoft_Adj Close,Microsoft_Volume,Netflix_Open,Netflix_High,Netflix_Low,Netflix_Close,Netflix_Adj Close,Netflix_Volume,Tesla_Open,Tesla_High,Tesla_Low,Tesla_Close,Tesla_Adj Close,Tesla_Volume,Uber_Open,Uber_High,Uber_Low,Uber_Close,Uber_Adj Close,Uber_Volume,Walmart_Open,Walmart_High,Walmart_Low,Walmart_Close,Walmart_Adj Close,Walmart_Volume,Zoom_Open,Zoom_High,Zoom_Low,Zoom_Close,Zoom_Adj Close,Zoom_Volume
2019-06-18,1901.349976,1921.670044,1899.790039,1901.369995,1901.369995,3895700,49.012501,50.072498,48.802502,49.612499,48.555523,106204000,194.0,194.529999,187.279999,188.470001,188.470001,37571400,1109.689941,1116.390015,1098.98999,1103.599976,1103.599976,1386700,134.190002,135.240005,133.570007,135.160004,131.742935,25934500,355.570007,361.5,353.75,357.119995,357.119995,5428500,45.743999,46.948002,44.512001,44.948002,44.948002,63579000,44.299999,44.889999,43.75,43.860001,43.860001,7313600,109.800003,109.959999,108.910004,109.650002,105.169655,4911200,100.389999,102.0,97.510002,99.639999,99.639999,2272400
2019-06-19,1907.839966,1919.579956,1892.469971,1908.790039,1908.790039,2895300,49.919998,49.970001,49.327499,49.467499,48.413612,84496800,187.0,188.100006,184.550003,187.479996,187.479996,21417100,1105.599976,1107.0,1093.47998,1102.329956,1102.329956,1338800,135.0,135.929993,133.809998,135.690002,132.259552,23744400,361.720001,364.73999,356.119995,363.519989,363.519989,5667200,45.021999,45.554001,44.212002,45.285999,45.285999,32875500,44.459999,45.5,43.950001,44.860001,44.860001,10331500,109.800003,109.839996,108.870003,109.620003,105.140892,3924600,100.489998,104.445,98.629997,102.389999,102.389999,2592700
2019-06-20,1933.329956,1935.199951,1905.800049,1918.189941,1918.189941,3217200,50.092499,50.1525,49.5075,49.865002,48.802647,86056000,190.949997,191.160004,187.639999,189.529999,189.529999,14635700,1119.98999,1120.119995,1104.73999,1111.420044,1111.420044,1262000,137.449997,137.660004,135.720001,136.949997,133.487686,33042600,365.910004,370.119995,361.220001,365.209991,365.209991,5899500,44.599998,45.380001,43.27,43.924,43.924,59317500,45.029999,45.290001,43.509998,43.860001,43.860001,9567400,109.82,110.489998,109.279999,110.32,105.812271,5001500,105.010002,107.339996,101.621002,102.300003,102.300003,2460700
2019-06-21,1916.099976,1925.949951,1907.579956,1911.300049,1911.300049,3933600,49.700001,50.212502,49.537498,49.695,48.636265,191202400,188.75,192.0,188.75,191.139999,191.139999,22751200,1109.23999,1124.109985,1108.079956,1121.880005,1121.880005,1947600,136.580002,137.729996,136.460007,136.970001,133.507172,36727900,365.0,371.450012,365.0,369.209991,369.209991,7448400,43.243999,44.436001,43.099998,44.372002,44.372002,41010500,43.849998,44.139999,43.380001,44.0,44.0,4974000,110.339996,112.190002,110.260002,111.129997,106.58918,13178600,101.419998,101.531998,97.82,100.470001,100.470001,2972500
2019-06-24,1912.660034,1916.859985,1901.300049,1913.900024,1913.900024,2283000,49.634998,50.040001,49.5425,49.645,48.58733,72881600,192.419998,193.979996,191.570007,192.600006,192.600006,15509000,1119.609985,1122.0,1111.01001,1115.52002,1115.52002,1395600,137.0,138.399994,137.0,137.779999,134.296707,20628800,370.269989,375.0,370.200012,371.040009,371.040009,4830200,44.647999,45.172001,44.203999,44.728001,44.728001,28754000,44.0,44.07,42.82,43.09,43.09,5985100,111.489998,112.220001,111.029999,111.239998,106.694687,6032800,100.849998,101.5,88.879997,89.410004,89.410004,6011200
2019-06-25,1911.839966,1916.390015,1872.420044,1878.27002,1878.27002,3012300,49.607498,49.814999,48.822498,48.892502,47.850864,84281200,192.880005,193.139999,188.130005,188.839996,188.839996,16750300,1112.660034,1114.349976,1083.800049,1086.349976,1086.349976,1546900,137.25,137.589996,132.729996,133.429993,130.056656,33327400,370.75,371.0,358.290009,360.299988,360.299988,5750400,44.877998,45.068001,43.897999,43.952,43.952,30910500,43.279999,43.790001,42.443001,43.09,43.09,5753300,110.879997,111.43,110.400002,110.720001,106.19593,6105000,89.43,91.5,84.629997,85.029999,85.029999,3744500
2019-06-26,1892.47998,1903.800049,1887.319946,1897.829956,1897.829956,2441900,49.442501,50.247501,49.337502,49.950001,48.88583,104270000,189.539993,190.759995,187.309998,187.660004,187.660004,12808600,1086.5,1092.969971,1072.23999,1079.800049,1079.800049,1810900,134.350006,135.740005,133.600006,133.929993,130.544022,23657700,361.600006,366.790009,361.600006,362.200012,362.200012,3669700,44.062,45.445999,43.619999,43.854,43.854,42536000,43.25,43.400002,42.360001,42.5,42.5,8109100,110.849998,111.080002,110.099998,110.160004,105.658821,4161700,87.919998,89.080002,84.605003,86.330002,86.330002,2680000
2019-06-27,1902.0,1911.23999,1898.040039,1904.280029,1904.280029,2141700,50.072498,50.392502,49.892502,49.935001,48.871155,83598800,189.880005,198.880005,188.270004,189.5,189.5,11159000,1084.0,1087.099976,1075.290039,1076.01001,1076.01001,1004300,134.139999,134.710007,133.509995,134.149994,130.758453,16557500,363.200012,370.850006,363.200012,370.019989,370.019989,4138600,43.889999,44.580002,43.470001,44.568001,44.568001,31698500,43.349998,45.299999,43.200001,45.130001,45.130001,20155100,110.059998,110.510002,108.860001,110.099998,105.601265,5481300,89.699997,92.330002,87.800003,90.269997,90.269997,3019500
2019-06-28,1909.099976,1912.939941,1884.0,1893.630005,1893.630005,3037400,49.669998,49.875,49.262501,49.48,48.425846,124442400,190.550003,193.199997,189.940002,193.0,193.0,16378900,1076.390015,1081.0,1073.369995,1080.910034,1080.910034,1693200,134.570007,134.600006,133.160004,133.960007,130.573303,30043000,370.26001,371.540009,364.869995,367.320007,367.320007,4592700,44.198002,45.034,44.16,44.692001,44.692001,34257000,45.099998,47.080002,45.080002,46.380001,46.380001,28657000,110.550003,111.510002,110.239998,110.489998,105.975327,6506700,91.760002,92.199997,87.25,88.790001,88.790001,3228300
2019-07-01,1922.97998,1929.819946,1914.660034,1922.189941,1922.189941,3192100,50.7925,51.122501,50.162498,50.387501,49.314014,109012000,195.210007,195.279999,191.929993,193.0,193.0,14181800,1098.0,1107.579956,1093.703003,1097.949951,1097.949951,1436300,136.630005,136.699997,134.970001,135.679993,132.249786,22613500,373.5,376.660004,372.0,374.600006,374.600006,4992600,46.042,46.619999,45.256001,45.433998,45.433998,41067000,46.98,47.040001,44.060001,44.27,44.27,17660500,111.300003,111.970001,110.019997,110.620003,106.100021,5514700,85.129997,87.790001,83.099998,86.860001,86.860001,5306600
2019-07-02,1919.380005,1934.790039,1906.630005,1934.310059,1934.310059,2645900,50.352501,50.782501,50.34,50.682499,49.602726,67740800,193.0,195.0,192.710007,195.0,195.0,9050000,1102.23999,1111.77002,1098.170044,1111.25,1111.25,991600,136.119995,136.589996,135.339996,136.580002,133.127045,15237800,374.890015,376.0,370.309998,375.429993,375.429993,3625000,45.778,45.830002,44.444,44.91,44.91,46295000,44.549999,44.68,43.75,44.0,44.0,11881300,110.830002,111.610001,110.339996,111.599998,107.03997,4062900,86.269997,86.849998,84.0,85.129997,85.129997,1866000
2019-07-03,1935.890015,1941.589966,1930.5,1939.0,1939.0,1690300,50.82,51.110001,50.672501,51.102501,50.013783,45448000,194.160004,197.399994,194.160004,197.199997,197.199997,10246100,1117.410034,1126.76001,1113.859985,1121.579956,1121.579956,767000,136.800003,137.740005,136.289993,137.460007,133.984802,13629300,376.690002,381.98999,375.839996,381.720001,381.720001,3799000,47.877998,48.313999,46.902,46.98,46.98,71005500,44.0,44.459999,43.790001,44.23,44.23,3380000,111.18,112.400002,111.0,112.32,107.73056,3207300,85.449997,90.599998,84.510002,90.449997,90.449997,2706100
2019-07-05,1928.599976,1945.900024,1925.300049,1942.910034,1942.910034,2628400,50.837502,51.27,50.724998,51.057499,49.969738,69062000,196.179993,197.070007,194.169998,196.399994,196.399994,11164100,1117.800049,1132.880005,1116.140015,1131.589966,1131.589966,1264300,135.940002,137.330002,135.720001,137.059998,133.59491,18141100,378.290009,381.399994,375.559998,380.549988,380.549988,3732200,46.914001,47.09,46.16,46.619999,46.619999,35328500,44.310001,44.549999,43.009998,43.529999,43.529999,8239500,112.0,112.239998,111.209999,111.980003,107.404449,3579400,90.139999,91.970001,88.0,91.879997,91.879997,2582700
